20-100-frag12-85.wcnf,42
20-100-frag12-91.wcnf,43
20-100-frag12-97.wcnf,42
20-100-lambda100-48.wcnf,74
20-100-lambda100-96.wcnf,74
20-100-p100-49.wcnf,78
20-100-p100-54.wcnf,74
AMAZON.wcnf,53033
atcoss_mesat_02.wcnf,50
atcoss_mesat_03.wcnf,50
atcoss_mesat_04.wcnf,40
atcoss_mesat_15.wcnf,100
atcoss_mesat_18.wcnf,18
atcoss_sugar_05.wcnf,12
atcoss_sugar_10.wcnf,13
brock200_3.clq.wcnf,214
cellda_x_12.wcnf,9
cellda_y_10.wcnf,6
cnf_10.wcnf,54
cnf_12.wcnf,62
cnf_small.wcnf,28
credit_train_1_DNF_3_1.wcnf,5991
d4.wcnf,4691
data.135.wcnf,103
data.243.wcnf,198
data.405.wcnf,340
data.729.wcnf,639
DBLP.wcnf,58804
extension-enforcement_non-strict_stb_200_0.05_4_10_0.wcnf,6
extension-enforcement_non-strict_stb_200_0.1_4_10_2.wcnf,8
g2_n35e34_n58e61.wcnf,21
gen_add_6_991.wcnf,102
GenHyperTW_aim-50-3_4-yes1-3.wcnf,15
GenHyperTW_atv_partial_system.wcnf,3
GenHyperTW_clique_15.wcnf,8
GenHyperTW_flat30-50.wcnf,43
GenHyperTW_hole6.wcnf,7
GenHyperTW_par8-3-c.wcnf,8
GenHyperTW_pret60_25.wcnf,7
GenHyperTW_uf20-099.wcnf,6
GreeceWesternGreeceUniversityInstance4.xml.wcnf,54
haberman.wcnf,386
hamming10-4.clq.wcnf,984
heart-c.wcnf,203
maxcut-140-630-0.7-12.wcnf,167
maxcut-140-630-0.7-20.wcnf,168
maxcut-140-630-0.7-28.wcnf,167
maxcut-140-630-0.7-4.wcnf,167
maxcut-140-630-0.7-45.wcnf,168
maxcut-140-630-0.7-6.wcnf,162
maxcut-140-630-0.8-1.wcnf,165
maxcut-140-630-0.8-18.wcnf,163
maxcut-140-630-0.8-26.wcnf,167
maxcut-140-630-0.8-39.wcnf,169
meltdown_min.wcnf,69
MinFill_R0_miles1500.wcnf,218
MinFill_R0_myciel6.wcnf,753
MinFill_R0_queen5_5.wcnf,93
